"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"0001-Add-prototype-to-function-definitions.patch","0001-Add-prototype-to-function-definitions.patch","","","x86_64-linux","/nix/store/xwkk0ingzql9g686b33rj5b04bacixsc-0001-Add-prototype-to-function-definitions.patch","['/nix/store/xwkk0ingzql9g686b33rj5b04bacixsc-0001-Add-prototype-to-function-definitions.patch']","/nix/store/5ljnjbvwpxa0985w770sdf482dfjgyx5-0001-Add-prototype-to-function-definitions.patch.drv","cpe:2.3:a:0001-Add-prototype-to-function-definitions.patch:0001-Add-prototype-to-function-definitions.patch::*:*:*:*:*:*:*","pkg:nix/0001-Add-prototype-to-function-definitions.patch","https://sourceforge.net/p/expect/patches/24/attachment/0001-Add-prototype-to-function-definitions.patch","","","","","","","",""
"001-fix-rpath.patch","001-fix-rpath.patch","","","x86_64-linux","/nix/store/la834w1n15f69hfsm77h63211ls96qsn-001-fix-rpath.patch","['/nix/store/la834w1n15f69hfsm77h63211ls96qsn-001-fix-rpath.patch']","/nix/store/yrfd61alsjpqjh8gw4v9jq41ij0xf8jw-001-fix-rpath.patch.drv","cpe:2.3:a:001-fix-rpath.patch:001-fix-rpath.patch::*:*:*:*:*:*:*","pkg:nix/001-fix-rpath.patch","","","","","","","","",""
"06-initialize-the-symlink-flag.patch","06-initialize-the-symlink-flag.patch","","","x86_64-linux","/nix/store/kmi9k6axz96lmm2sn922w9shys0z0cz5-06-initialize-the-symlink-flag.patch","['/nix/store/kmi9k6axz96lmm2sn922w9shys0z0cz5-06-initialize-the-symlink-flag.patch']","/nix/store/xsyvvg8nk2kkdz7kp99w17nf5sp2cm28-06-initialize-the-symlink-flag.patch.drv","cpe:2.3:a:06-initialize-the-symlink-flag.patch:06-initialize-the-symlink-flag.patch::*:*:*:*:*:*:*","pkg:nix/06-initialize-the-symlink-flag.patch","https://sources.debian.org/data/main/u/unzip/6.0-26%2Bdeb11u1/debian/patches/06-initialize-the-symlink-flag.patch https://gist.github.com/veprbl/41261bb781571e2246ea42d3f37795f5/raw/d8533d8c6223150f76b0f31aec03e185fcde3579/06-initialize-the-symlink-flag.patch","","","","","","","",""
"07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","","","x86_64-linux","/nix/store/ir6sycy7p1yxbk9vbsdwkwihdr54sv9k-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","['/nix/store/ir6sycy7p1yxbk9vbsdwkwihdr54sv9k-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch']","/nix/store/00g7kwq6lh26rll98lwayx291b66kh4i-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch.drv","cpe:2.3:a:07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch:07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch::*:*:*:*:*:*:*","pkg:nix/07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","https://github.com/docbook/xslt10-stylesheets/commit/07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","","","","","","","",""
"28-cve-2022-0529-and-cve-2022-0530.patch","28-cve-2022-0529-and-cve-2022-0530.patch","","","x86_64-linux","/nix/store/00yq93apw768qlfmhpk0j40ps7plmxd8-28-cve-2022-0529-and-cve-2022-0530.patch","['/nix/store/00yq93apw768qlfmhpk0j40ps7plmxd8-28-cve-2022-0529-and-cve-2022-0530.patch']","/nix/store/93fa2bjdw7rr3a6gcaqk2alp752fz5bq-28-cve-2022-0529-and-cve-2022-0530.patch.drv","cpe:2.3:a:28-cve-2022-0529-and-cve-2022-0530.patch:28-cve-2022-0529-and-cve-2022-0530.patch::*:*:*:*:*:*:*","pkg:nix/28-cve-2022-0529-and-cve-2022-0530.patch","https://sources.debian.org/data/main/u/unzip/6.0-27/debian/patches/28-cve-2022-0529-and-cve-2022-0530.patch https://web.archive.org/web/20230106200319/https://sources.debian.org/data/main/u/unzip/6.0-27/debian/patches/28-cve-2022-0529-and-cve-2022-0530.patch","","","","","","","",""
"40c1ccf3432a6787be1801ced721540e34c6cd87.patch","40c1ccf3432a6787be1801ced721540e34c6cd87.patch","","","x86_64-linux","/nix/store/pp94c5dqr68l6v0k116z33ivfn3laz5q-40c1ccf3432a6787be1801ced721540e34c6cd87.patch","['/nix/store/pp94c5dqr68l6v0k116z33ivfn3laz5q-40c1ccf3432a6787be1801ced721540e34c6cd87.patch']","/nix/store/3kmylj5vjg0bn4ks8il0kvf3m9rrjfan-40c1ccf3432a6787be1801ced721540e34c6cd87.patch.drv","cpe:2.3:a:40c1ccf3432a6787be1801ced721540e34c6cd87.patch:40c1ccf3432a6787be1801ced721540e34c6cd87.patch::*:*:*:*:*:*:*","pkg:nix/40c1ccf3432a6787be1801ced721540e34c6cd87.patch","https://github.com/pexpect/ptyprocess/commit/40c1ccf3432a6787be1801ced721540e34c6cd87.patch","","","","","","","",""
"7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch","7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch","","","x86_64-linux","/nix/store/2shqjvap92dwqrm93myrp39n9iv11j5j-7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch","['/nix/store/2shqjvap92dwqrm93myrp39n9iv11j5j-7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch']","/nix/store/0xfpr056km8a2cnyia4fnxyhwcmv6qcb-7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch.drv","cpe:2.3:a:7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch:7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch::*:*:*:*:*:*:*","pkg:nix/7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch","https://github.com/python/mypy/commit/7534898319cb7f16738c11e4bc1bdcef0eb13c38.patch","","","","","","","",""
"CUnit-2.1-3","CUnit","2.1-3","","x86_64-linux","/nix/store/w30h7v2mjnq800468al3hk7c3bxlxz3g-CUnit-2.1-3","['/nix/store/w30h7v2mjnq800468al3hk7c3bxlxz3g-CUnit-2.1-3']","/nix/store/6rsd0whiadh2fry2ixi059qy1gpxg6v7-CUnit-2.1-3.drv","cpe:2.3:a:CUnit:CUnit:2.1-3:*:*:*:*:*:*:*","pkg:nix/CUnit@2.1-3","","CUnit","2.1-3","https://cunit.sourceforge.net/","False","Unit Testing Framework for C","lgpl2","LGPL-2.0",""
"CUnit-2.1-3.tar.bz2","CUnit-2.1-3.tar.bz2","","","x86_64-linux","/nix/store/4zasdvbbqdw4h44302ai76v0i7wczzg6-CUnit-2.1-3.tar.bz2","['/nix/store/4zasdvbbqdw4h44302ai76v0i7wczzg6-CUnit-2.1-3.tar.bz2']","/nix/store/hi3shgpcr8rmnn9cli9hrpgd6r1106mc-CUnit-2.1-3.tar.bz2.drv","cpe:2.3:a:CUnit-2.1-3.tar.bz2:CUnit-2.1-3.tar.bz2::*:*:*:*:*:*:*","pkg:nix/CUnit-2.1-3.tar.bz2","mirror://sourceforge/cunit/CUnit/2.1-3/CUnit-2.1-3.tar.bz2","","","","","","","",""
"CVE-2019-13232-1.patch","CVE-2019-13232-1.patch","","","x86_64-linux","/nix/store/gql5b9d941nvdbwb4mb4k07bcn0wc78j-CVE-2019-13232-1.patch","['/nix/store/gql5b9d941nvdbwb4mb4k07bcn0wc78j-CVE-2019-13232-1.patch']","/nix/store/0crcmfk069wia9b3s535yqga2ww5hb0k-CVE-2019-13232-1.patch.drv","cpe:2.3:a:CVE-2019-13232-1.patch:CVE-2019-13232-1.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2019-13232-1.patch","https://github.com/madler/unzip/commit/41beb477c5744bc396fa1162ee0c14218ec12213.patch","","","","","","","",""
