"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"acl-2.3.2","acl","2.3.2","","x86_64-linux","/nix/store/f9zy83r51fxj1j8db10pv5ccvvakrsyd-acl-2.3.2","['/nix/store/f9zy83r51fxj1j8db10pv5ccvvakrsyd-acl-2.3.2']","/nix/store/4qm0x8h1mvwgh54lxb5hvyf8w14f6f4h-acl-2.3.2.drv","cpe:2.3:a:xfs:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2","","acl","2.3.2","https://savannah.nongnu.org/projects/acl","False","Library and tools for manipulating access control lists","gpl2Plus","GPL-2.0-or-later",""
"attr-2.5.2","attr","2.5.2","/nix/store/wc9c8k7z5w5afdqvz7gjrjlaqf16wfpr-musl.patch","x86_64-linux","/nix/store/yz9fdbdlmfyvivgxkwdsnj5l0lg7j0c0-attr-2.5.2","['/nix/store/yz9fdbdlmfyvivgxkwdsnj5l0lg7j0c0-attr-2.5.2']","/nix/store/i3jnr0fi1fi5kif6pvqd348gbmgldkqn-attr-2.5.2.drv","cpe:2.3:a:attr:attr:2.5.2:*:*:*:*:*:*:*","pkg:nix/attr@2.5.2","","attr","2.5.2","https://savannah.nongnu.org/projects/attr/","False","Library and tools for manipulating extended attributes","gpl2Plus","GPL-2.0-or-later",""
"bash-5.3p3","bash","5.3p3","/nix/store/0j41vs0ajmjn81i1mwhgvi24rr5hi4aa-bash53-001 /nix/store/6iygjlcf64ryrg6jryk6qrjfxxz2i6q8-bash53-002 /nix/store/bm2dknmrjbsd49idcliys6gyalnbd90i-bash53-003 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch","x86_64-linux","/nix/store/3hgg7pr65imdrifqqh3flg3arvkc2r22-bash-5.3p3","['/nix/store/3hgg7pr65imdrifqqh3flg3arvkc2r22-bash-5.3p3']","/nix/store/gz423mnfsshyz0c3vrc633m8vwb5lxmm-bash-5.3p3.drv","cpe:2.3:a:gnu:bash:5.3p3:*:*:*:*:*:*:*","pkg:nix/bash@5.3p3","","bash","5.3p3","https://www.gnu.org/software/bash/","False","GNU Bourne-Again Shell, the de facto standard shell on Linux","gpl3Plus","GPL-3.0-or-later","contact@infinisil.com"
"bash-interactive-5.3p3","bash-interactive","5.3p3","/nix/store/0j41vs0ajmjn81i1mwhgvi24rr5hi4aa-bash53-001 /nix/store/6iygjlcf64ryrg6jryk6qrjfxxz2i6q8-bash53-002 /nix/store/bm2dknmrjbsd49idcliys6gyalnbd90i-bash53-003 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch","x86_64-linux","/nix/store/lfbzxs5wyqd2122mpbj5azkxhxspw9cd-bash-interactive-5.3p3","['/nix/store/lfbzxs5wyqd2122mpbj5azkxhxspw9cd-bash-interactive-5.3p3']","/nix/store/vqy8ay1rzvybx4hkhby1bc0559jixpp4-bash-interactive-5.3p3.drv","cpe:2.3:a:bash-interactive:bash-interactive:5.3p3:*:*:*:*:*:*:*","pkg:nix/bash-interactive@5.3p3","","bash-interactive","5.3p3","https://www.gnu.org/software/bash/","False","GNU Bourne-Again Shell, the de facto standard shell on Linux (for interactive use)","gpl3Plus","GPL-3.0-or-later","contact@infinisil.com"
"coreutils-9.8","coreutils","9.8","/nix/store/02f9qyjmkcak2ywwzb3571n0mggj8g58-tail.patch /nix/store/gmgzj0bgxnpzrcb6n4wn3h965v18brmx-cp-1.patch /nix/store/684dl45bs9f7iij1vl7dfg4zms710zhy-cp-2.patch /nix/store/1qs5dym4930r8r59n0d9dcfyva654bz8-cp-3.patch","x86_64-linux","/nix/store/hqkszxk2c0cxvd04xa4gsaqs182dw8l2-coreutils-9.8","['/nix/store/hqkszxk2c0cxvd04xa4gsaqs182dw8l2-coreutils-9.8']","/nix/store/n80wl1635liw3v57aivw6xsjmw5x1s71-coreutils-9.8.drv","cpe:2.3:a:coreutils:coreutils:9.8:*:*:*:*:*:*:*","pkg:nix/coreutils@9.8","","coreutils","9.8","https://www.gnu.org/software/coreutils/","False","GNU Core Utilities","gpl3Plus","GPL-3.0-or-later","janne@hess.ooo"
"gcc-14.3.0","gcc","14.3.0","/nix/store/9577hmdlmhki67cg8ar85cvidyg7xr7p-gcc-12-no-sys-dirs.patch /nix/store/7x6bimj6ipi6ag859gi2fc6by87x37j7-no-sys-dirs-riscv.patch /nix/store/xpplvxiwb4li2qd5nvhyd2mngrpna0ya-mangle-NIX_STORE-in-__FILE__.patch /nix/store/632b0y5mkcdwbsw2g3xh5qznw2vv5axr-ppc-musl.patch /nix/store/3cj8qm3xjz1g5f7qnnxlc95i9imkicbk-cfi_startproc-reorder-label-14-1.diff","x86_64-linux","/nix/store/ipr6y28viyqkhkg58rdvy27m01q5j5nh-gcc-14.3.0","['/nix/store/phpq5h7cp6y1w84aysy29548irqy5dd9-gcc-14.3.0-libgcc', '/nix/store/ybp235ps7m4yd85v0pgvqkhd4xmxf6jq-gcc-14.3.0-lib']","/nix/store/kgbxz4gb826agk27ixc19763nj5wwmm2-gcc-14.3.0.drv","cpe:2.3:a:gcc:gcc:14.3.0:*:*:*:*:*:*:*","pkg:nix/gcc@14.3.0","","gcc","14.3.0","https://gcc.gnu.org/","False","GNU Compiler Collection, version 14.3.0","gpl3Plus","GPL-3.0-or-later","nix@hilhorst.be;v@cunat.cz;John.Ericson@Obsidian.Systems"
"glibc-2.40-224","glibc","2.40-224","/nix/store/4b6rks5znw969p241ngrz46bmqc5rfjh-2.40-master.patch /nix/store/nc5hqqizlj7042vvhvx121kzf4nwh35p-nix-locale-archive.patch /nix/store/b1w7zbvm39ff1i52iyjggyvw2rdxz104-dont-use-system-ld-so-cache.patch /nix/store/mnglr8rr7nl444h7p50ysyq8qd0fm1lm-dont-use-system-ld-so-preload.patch /nix/store/za0pg7fmysrcwrqcal26fnmzw6vycgdn-fix_path_attribute_in_getconf.patch /nix/store/7kw224hdyxd7115lrqh9a4dv2x8msq2s-fix-x64-abi.patch /nix/store/001gp43bjqzx60cg345n2slzg7131za8-nix-nss-open-files.patch /nix/store/pcpx2ayccijipfl32zchx0mg7rzvj6zx-0001-Revert-Remove-all-usage-of-BASH-or-BASH-in-installed.patch /nix/store/sj0qllprnrmk1cqnnk57vvn2cqgjynbx-reenable_DT_HASH.patch /nix/store/f1qmmr4f6mi99xr5bvfrqmynjx9j038p-0001-localedata-allow-reproducible-parallel-install-of-lo.patch /nix/store/62qh08ij1zvw5lxj69n98lzv0byda0di-0002-Makeconfig-make-inst_complocaledir-overridable.patch","x86_64-linux","/nix/store/7nbi22pcc92y2fqbkyp7h3srvvklmckb-glibc-2.40-224","['/nix/store/7nbi22pcc92y2fqbkyp7h3srvvklmckb-glibc-2.40-224']","/nix/store/fynmmhgd2qyxbxxs0cii34zj37mv3xcm-glibc-2.40-224.drv","cpe:2.3:a:glibc:glibc:2.40-224:*:*:*:*:*:*:*","pkg:nix/glibc@2.40-224","","glibc","2.40-224","https://www.gnu.org/software/libc/","False","GNU C Library","lgpl2Plus","LGPL-2.0-or-later","maximilian@mbosch.me;ConnorBaker01@gmail.com"
"gmp-with-cxx-6.3.0","gmp-with-cxx","6.3.0","","x86_64-linux","/nix/store/dw8qxi3l3j5ip7i6kjyp9jnr4nsp63g7-gmp-with-cxx-6.3.0","['/nix/store/dw8qxi3l3j5ip7i6kjyp9jnr4nsp63g7-gmp-with-cxx-6.3.0']","/nix/store/mjr18cqnfzz97vi7nd3m0yrq57l8652n-gmp-with-cxx-6.3.0.drv","cpe:2.3:a:gmp-with-cxx:gmp-with-cxx:6.3.0:*:*:*:*:*:*:*","pkg:nix/gmp-with-cxx@6.3.0","","gmp-with-cxx","6.3.0","https://gmplib.org/","False","GNU multiple precision arithmetic library","lgpl3Only;gpl2Only","LGPL-3.0-only;GPL-2.0-only",""
"icu4c-76.1","icu4c","76.1","","x86_64-linux","/nix/store/8vx8avzfcpcldsipwd7iz65r7ig9p4dv-icu4c-76.1","['/nix/store/8pr908sqkiw8ljbvy97w3dkzyc6gp33c-icu4c-76.1-dev', '/nix/store/8vx8avzfcpcldsipwd7iz65r7ig9p4dv-icu4c-76.1']","/nix/store/gvxm2j6wcfhhkcn75kakdm8amrj4bsbc-icu4c-76.1.drv","cpe:2.3:a:icu4c:icu4c:76.1:*:*:*:*:*:*:*","pkg:nix/icu4c@76.1","","icu4c","76.1","https://icu.unicode.org/","False","Unicode and globalization support library","","","7c6f434c@mail.ru"
"libidn2-2.3.8","libidn2","2.3.8","","x86_64-linux","/nix/store/qywg7bxskvihq62ms2g51fkzkrdnyfkh-libidn2-2.3.8","['/nix/store/qywg7bxskvihq62ms2g51fkzkrdnyfkh-libidn2-2.3.8']","/nix/store/a64c09hgbhz1k3knddjgc43z6hpb0gsx-libidn2-2.3.8.drv","cpe:2.3:a:gnu:libidn2:2.3.8:*:*:*:*:*:*:*","pkg:nix/libidn2@2.3.8","","libidn2","2.3.8","https://www.gnu.org/software/libidn/#libidn2","False","Free software implementation of IDNA2008 and TR46","lgpl3Plus;gpl2Plus;gpl3Plus","LGPL-3.0-or-later;GPL-2.0-or-later;GPL-3.0-or-later","fpletz@fnordicwalking.de"
