"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"0001-Add-prototype-to-function-definitions.patch","0001-Add-prototype-to-function-definitions.patch","","","x86_64-linux","/nix/store/xwkk0ingzql9g686b33rj5b04bacixsc-0001-Add-prototype-to-function-definitions.patch","['/nix/store/xwkk0ingzql9g686b33rj5b04bacixsc-0001-Add-prototype-to-function-definitions.patch']","/nix/store/5ljnjbvwpxa0985w770sdf482dfjgyx5-0001-Add-prototype-to-function-definitions.patch.drv","cpe:2.3:a:0001-Add-prototype-to-function-definitions.patch:0001-Add-prototype-to-function-definitions.patch::*:*:*:*:*:*:*","pkg:nix/0001-Add-prototype-to-function-definitions.patch","https://sourceforge.net/p/expect/patches/24/attachment/0001-Add-prototype-to-function-definitions.patch","","","","","","","",""
"0001-libwebp-Fix-endianness-with-CMake.patch","0001-libwebp-Fix-endianness-with-CMake.patch","","","x86_64-linux","/nix/store/n024hsfb0mvrfvz67d2f9ry90cdhjakk-0001-libwebp-Fix-endianness-with-CMake.patch","['/nix/store/n024hsfb0mvrfvz67d2f9ry90cdhjakk-0001-libwebp-Fix-endianness-with-CMake.patch']","/nix/store/89icsbcyfdxs8nkmb4a7gisnhxdxh725-0001-libwebp-Fix-endianness-with-CMake.patch.drv","cpe:2.3:a:0001-libwebp-Fix-endianness-with-CMake.patch:0001-libwebp-Fix-endianness-with-CMake.patch::*:*:*:*:*:*:*","pkg:nix/0001-libwebp-Fix-endianness-with-CMake.patch","https://github.com/webmproject/libwebp/commit/0e5f4ee3deaba5c4381877764005d981f652791f.patch","","","","","","","",""
"0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch","0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch","","","x86_64-linux","/nix/store/ishifbvkf643984gin8fk7xvnzpp8xrg-0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch","['/nix/store/ishifbvkf643984gin8fk7xvnzpp8xrg-0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch']","/nix/store/9hdgijrs8dqd67c122wcw8v03z7r6f00-0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch.drv","cpe:2.3:a:0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch:0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch::*:*:*:*:*:*:*","pkg:nix/0001-openblas-Use-generic-kernels-for-SCAL-on-POWER4-5.patch","https://github.com/OpenMathLib/OpenBLAS/commit/14c9dcaac70d9382de00ba4418643d9587f4950e.patch","","","","","","","",""
"0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","","","x86_64-linux","/nix/store/lsxbs3l053zpfp6h5xc1nk33fmrgpy72-0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","['/nix/store/lsxbs3l053zpfp6h5xc1nk33fmrgpy72-0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d']","/nix/store/ds06m3g2h28ggwczy09nbfccsfs61naj-0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d.drv","cpe:2.3:a:0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d:0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d::*:*:*:*:*:*:*","pkg:nix/0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch%3Fid%3D62b9c816a5000dc01b28e78213bde26b58cbca9d","https://git.yoctoproject.org/meta-selinux/plain/recipes-security/selinux/libselinux/0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","","","","","","","",""
"001-fix-rpath.patch","001-fix-rpath.patch","","","x86_64-linux","/nix/store/la834w1n15f69hfsm77h63211ls96qsn-001-fix-rpath.patch","['/nix/store/la834w1n15f69hfsm77h63211ls96qsn-001-fix-rpath.patch']","/nix/store/yrfd61alsjpqjh8gw4v9jq41ij0xf8jw-001-fix-rpath.patch.drv","cpe:2.3:a:001-fix-rpath.patch:001-fix-rpath.patch::*:*:*:*:*:*:*","pkg:nix/001-fix-rpath.patch","","","","","","","","",""
"06-initialize-the-symlink-flag.patch","06-initialize-the-symlink-flag.patch","","","x86_64-linux","/nix/store/kmi9k6axz96lmm2sn922w9shys0z0cz5-06-initialize-the-symlink-flag.patch","['/nix/store/kmi9k6axz96lmm2sn922w9shys0z0cz5-06-initialize-the-symlink-flag.patch']","/nix/store/xsyvvg8nk2kkdz7kp99w17nf5sp2cm28-06-initialize-the-symlink-flag.patch.drv","cpe:2.3:a:06-initialize-the-symlink-flag.patch:06-initialize-the-symlink-flag.patch::*:*:*:*:*:*:*","pkg:nix/06-initialize-the-symlink-flag.patch","https://sources.debian.org/data/main/u/unzip/6.0-26%2Bdeb11u1/debian/patches/06-initialize-the-symlink-flag.patch https://gist.github.com/veprbl/41261bb781571e2246ea42d3f37795f5/raw/d8533d8c6223150f76b0f31aec03e185fcde3579/06-initialize-the-symlink-flag.patch","","","","","","","",""
"07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","","","x86_64-linux","/nix/store/ir6sycy7p1yxbk9vbsdwkwihdr54sv9k-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","['/nix/store/ir6sycy7p1yxbk9vbsdwkwihdr54sv9k-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch']","/nix/store/00g7kwq6lh26rll98lwayx291b66kh4i-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch.drv","cpe:2.3:a:07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch:07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch::*:*:*:*:*:*:*","pkg:nix/07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","https://github.com/docbook/xslt10-stylesheets/commit/07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","","","","","","","",""
"100-fix-gcc14-build.patch","100-fix-gcc14-build.patch","","","x86_64-linux","/nix/store/2lk3ha364aakq8w85nz13app4jfmdd13-100-fix-gcc14-build.patch","['/nix/store/2lk3ha364aakq8w85nz13app4jfmdd13-100-fix-gcc14-build.patch']","/nix/store/q0j3a357sksqf4nchqv5nvsb0z413gcr-100-fix-gcc14-build.patch.drv","cpe:2.3:a:100-fix-gcc14-build.patch:100-fix-gcc14-build.patch::*:*:*:*:*:*:*","pkg:nix/100-fix-gcc14-build.patch","https://raw.githubusercontent.com/openwrt/openwrt/52b6c9247997e51a97f13bb9e94749bc34e2d52e/package/libs/mbedtls/patches/100-fix-gcc14-build.patch","","","","","","","",""
"1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch","1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch","","","x86_64-linux","/nix/store/mly2j1pm9kd6hrlfkm3c7b145j9ngmr9-1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch","['/nix/store/mly2j1pm9kd6hrlfkm3c7b145j9ngmr9-1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch']","/nix/store/vrjcb3dxqs7p5cxaw5dyh5dv4slfzifz-1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch.drv","cpe:2.3:a:1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch:1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch::*:*:*:*:*:*:*","pkg:nix/1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch","https://github.com/mesonbuild/meson-python/commit/1e69e7a23f2b24d688dc4220e93de6f0e2bcf9d2.patch","","","","","","","",""
"2010_add_build_timestamp_setting.patch","2010_add_build_timestamp_setting.patch","","","x86_64-linux","/nix/store/0fn4za6qi256yhx5fkg0kcg2db10m5hx-2010_add_build_timestamp_setting.patch","['/nix/store/0fn4za6qi256yhx5fkg0kcg2db10m5hx-2010_add_build_timestamp_setting.patch']","/nix/store/f28dflag3311fwdk9mld156sr3zpa412-2010_add_build_timestamp_setting.patch.drv","cpe:2.3:a:2010_add_build_timestamp_setting.patch:2010_add_build_timestamp_setting.patch::*:*:*:*:*:*:*","pkg:nix/2010_add_build_timestamp_setting.patch","https://salsa.debian.org/debian/ghostscript/-/raw/01e895fea033cc35054d1b68010de9818fa4a8fc/debian/patches/2010_add_build_timestamp_setting.patch","","","","","","","",""
