"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"bash-5.3p3","bash","5.3p3","/nix/store/0j41vs0ajmjn81i1mwhgvi24rr5hi4aa-bash53-001 /nix/store/6iygjlcf64ryrg6jryk6qrjfxxz2i6q8-bash53-002 /nix/store/bm2dknmrjbsd49idcliys6gyalnbd90i-bash53-003 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch","x86_64-linux","/nix/store/3hgg7pr65imdrifqqh3flg3arvkc2r22-bash-5.3p3","['/nix/store/3hgg7pr65imdrifqqh3flg3arvkc2r22-bash-5.3p3']","/nix/store/gz423mnfsshyz0c3vrc633m8vwb5lxmm-bash-5.3p3.drv","cpe:2.3:a:gnu:bash:5.3p3:*:*:*:*:*:*:*","pkg:nix/bash@5.3p3","","bash","5.3p3","https://www.gnu.org/software/bash/","False","GNU Bourne-Again Shell, the de facto standard shell on Linux","gpl3Plus","GPL-3.0-or-later","contact@infinisil.com"
"bzip2-1.0.8","bzip2","1.0.8","/nix/store/lpw1q2ska8qrwyc4fnwfb0iliklcygrv-bzip2-1.0.6.2-autoconfiscated.patch","x86_64-linux","/nix/store/c9gi6iyyki9z92gycdb13wbpjqxwsxis-bzip2-1.0.8","['/nix/store/c9gi6iyyki9z92gycdb13wbpjqxwsxis-bzip2-1.0.8']","/nix/store/agnfh81jpn2w5nyk9129pqzgg5xcjlwf-bzip2-1.0.8.drv","cpe:2.3:a:bzip2:bzip2:1.0.8:*:*:*:*:*:*:*","pkg:nix/bzip2@1.0.8","","bzip2","1.0.8","https://www.sourceware.org/bzip2","False","High-quality data compression program","bsdOriginal","BSD-4-Clause","alejandrosanchzmedina@gmail.com;artturin@artturin.com;emily+nix@downunderctf.com;John.Ericson@Obsidian.Systems;hello+nixpkgs@j-k.io;bensiraphob@gmail.com"
"expat-2.7.5","expat","2.7.5","","x86_64-linux","/nix/store/dn34cing3fxa7j6pi29xrfxp2nrb0i3y-expat-2.7.5","['/nix/store/dn34cing3fxa7j6pi29xrfxp2nrb0i3y-expat-2.7.5']","/nix/store/zlflf51k9b1r0vx3kkyivn3y9lm5w963-expat-2.7.5.drv","cpe:2.3:a:expat:expat:2.7.5:*:*:*:*:*:*:*","pkg:nix/expat@2.7.5","","expat","2.7.5","https://libexpat.github.io/","False","Stream-oriented XML parser library written in C","mit","MIT",""
"gcc-14.3.0","gcc","14.3.0","/nix/store/9577hmdlmhki67cg8ar85cvidyg7xr7p-gcc-12-no-sys-dirs.patch /nix/store/7x6bimj6ipi6ag859gi2fc6by87x37j7-no-sys-dirs-riscv.patch /nix/store/xpplvxiwb4li2qd5nvhyd2mngrpna0ya-mangle-NIX_STORE-in-__FILE__.patch /nix/store/632b0y5mkcdwbsw2g3xh5qznw2vv5axr-ppc-musl.patch /nix/store/3cj8qm3xjz1g5f7qnnxlc95i9imkicbk-cfi_startproc-reorder-label-14-1.diff","x86_64-linux","/nix/store/ipr6y28viyqkhkg58rdvy27m01q5j5nh-gcc-14.3.0","['/nix/store/phpq5h7cp6y1w84aysy29548irqy5dd9-gcc-14.3.0-libgcc', '/nix/store/ybp235ps7m4yd85v0pgvqkhd4xmxf6jq-gcc-14.3.0-lib']","/nix/store/kgbxz4gb826agk27ixc19763nj5wwmm2-gcc-14.3.0.drv","cpe:2.3:a:gcc:gcc:14.3.0:*:*:*:*:*:*:*","pkg:nix/gcc@14.3.0","","gcc","14.3.0","https://gcc.gnu.org/","False","GNU Compiler Collection, version 14.3.0","gpl3Plus","GPL-3.0-or-later","nix@hilhorst.be;v@cunat.cz;John.Ericson@Obsidian.Systems"
"gdbm-1.26","gdbm","1.26","","x86_64-linux","/nix/store/zwr802ysrlgpdb97ivs8xklrrakal0ss-gdbm-1.26","['/nix/store/wxy7sj4vxcbvkjsplbjsy40mzjm8d4xc-gdbm-1.26-lib']","/nix/store/w4a8lqn4k0d7p9171c39abv71npnmmhv-gdbm-1.26.drv","cpe:2.3:a:gdbm:gdbm:1.26:*:*:*:*:*:*:*","pkg:nix/gdbm@1.26","","gdbm","1.26","https://www.gnu.org/software/gdbm/","False","GNU dbm key/value database library","gpl3Plus","GPL-3.0-or-later",""
"glibc-2.40-224","glibc","2.40-224","/nix/store/4b6rks5znw969p241ngrz46bmqc5rfjh-2.40-master.patch /nix/store/nc5hqqizlj7042vvhvx121kzf4nwh35p-nix-locale-archive.patch /nix/store/b1w7zbvm39ff1i52iyjggyvw2rdxz104-dont-use-system-ld-so-cache.patch /nix/store/mnglr8rr7nl444h7p50ysyq8qd0fm1lm-dont-use-system-ld-so-preload.patch /nix/store/za0pg7fmysrcwrqcal26fnmzw6vycgdn-fix_path_attribute_in_getconf.patch /nix/store/7kw224hdyxd7115lrqh9a4dv2x8msq2s-fix-x64-abi.patch /nix/store/001gp43bjqzx60cg345n2slzg7131za8-nix-nss-open-files.patch /nix/store/pcpx2ayccijipfl32zchx0mg7rzvj6zx-0001-Revert-Remove-all-usage-of-BASH-or-BASH-in-installed.patch /nix/store/sj0qllprnrmk1cqnnk57vvn2cqgjynbx-reenable_DT_HASH.patch /nix/store/f1qmmr4f6mi99xr5bvfrqmynjx9j038p-0001-localedata-allow-reproducible-parallel-install-of-lo.patch /nix/store/62qh08ij1zvw5lxj69n98lzv0byda0di-0002-Makeconfig-make-inst_complocaledir-overridable.patch","x86_64-linux","/nix/store/7nbi22pcc92y2fqbkyp7h3srvvklmckb-glibc-2.40-224","['/nix/store/7nbi22pcc92y2fqbkyp7h3srvvklmckb-glibc-2.40-224']","/nix/store/fynmmhgd2qyxbxxs0cii34zj37mv3xcm-glibc-2.40-224.drv","cpe:2.3:a:glibc:glibc:2.40-224:*:*:*:*:*:*:*","pkg:nix/glibc@2.40-224","","glibc","2.40-224","https://www.gnu.org/software/libc/","False","GNU C Library","lgpl2Plus","LGPL-2.0-or-later","maximilian@mbosch.me;ConnorBaker01@gmail.com"
"libffi-3.5.2","libffi","3.5.2","/nix/store/8dsrka2c5kz5ziz9cq94ybzrvhjw5rdq-freebsd-tsan-pthread.patch","x86_64-linux","/nix/store/n28qgdj8c1q41kf7n4y1jxa6ckp85m3c-libffi-3.5.2","['/nix/store/n28qgdj8c1q41kf7n4y1jxa6ckp85m3c-libffi-3.5.2']","/nix/store/vm069zxdl9bf8zrpgrjnzgk684ygwpfw-libffi-3.5.2.drv","cpe:2.3:a:libffi_project:libffi:3.5.2:*:*:*:*:*:*:*","pkg:nix/libffi@3.5.2","","libffi","3.5.2","http://sourceware.org/libffi/","False","Foreign function call interface library","mit","MIT","mjbauer95@gmail.com"
"libidn2-2.3.8","libidn2","2.3.8","","x86_64-linux","/nix/store/qywg7bxskvihq62ms2g51fkzkrdnyfkh-libidn2-2.3.8","['/nix/store/qywg7bxskvihq62ms2g51fkzkrdnyfkh-libidn2-2.3.8']","/nix/store/a64c09hgbhz1k3knddjgc43z6hpb0gsx-libidn2-2.3.8.drv","cpe:2.3:a:gnu:libidn2:2.3.8:*:*:*:*:*:*:*","pkg:nix/libidn2@2.3.8","","libidn2","2.3.8","https://www.gnu.org/software/libidn/#libidn2","False","Free software implementation of IDNA2008 and TR46","lgpl3Plus;gpl2Plus;gpl3Plus","LGPL-3.0-or-later;GPL-2.0-or-later;GPL-3.0-or-later","fpletz@fnordicwalking.de"
"libunistring-1.4.1","libunistring","1.4.1","","x86_64-linux","/nix/store/hjwppd89fk8781xl4r35xqlddwqi5f66-libunistring-1.4.1","['/nix/store/hjwppd89fk8781xl4r35xqlddwqi5f66-libunistring-1.4.1']","/nix/store/j800s5phgfn9jg7iyiys89qjcr5hxriz-libunistring-1.4.1.drv","cpe:2.3:a:libunistring:libunistring:1.4.1:*:*:*:*:*:*:*","pkg:nix/libunistring@1.4.1","","libunistring","1.4.1","https://www.gnu.org/software/libunistring/","False","Unicode string library","lgpl3Plus","LGPL-3.0-or-later",""
"mailcap-2.1.54","mailcap","2.1.54","","x86_64-linux","/nix/store/7g2rwy25wdndxy3zr7q8d49bxyjbzcw0-mailcap-2.1.54","['/nix/store/7g2rwy25wdndxy3zr7q8d49bxyjbzcw0-mailcap-2.1.54']","/nix/store/gribg4vmbzfmddqvcnfwya0x25dpvimz-mailcap-2.1.54.drv","cpe:2.3:a:mailcap:mailcap:2.1.54:*:*:*:*:*:*:*","pkg:nix/mailcap@2.1.54","","mailcap","2.1.54","https://pagure.io/mailcap","False","Helper application and MIME type associations for file types","mit","MIT","c0bw3b@gmail.com"
