"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls"
"acl-2.3.2","acl","2.3.2","","x86_64-linux","/nix/store/fwfpzqrvzhpjp91rbnq64z07diyicbwh-acl-2.3.2","['/nix/store/fwfpzqrvzhpjp91rbnq64z07diyicbwh-acl-2.3.2']","/nix/store/inml62h6c54frrlb3pwiq1asmk6l3gfz-acl-2.3.2.drv","cpe:2.3:a:xfs:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2",""
"attr-2.5.2","attr","2.5.2","/nix/store/wc9c8k7z5w5afdqvz7gjrjlaqf16wfpr-musl.patch","x86_64-linux","/nix/store/12qcfbv6bgmxi1jd2dcddy25ijpcgj60-attr-2.5.2","['/nix/store/12qcfbv6bgmxi1jd2dcddy25ijpcgj60-attr-2.5.2']","/nix/store/a9x2q6cvqx3f887x96nnsngabk21s1rh-attr-2.5.2.drv","cpe:2.3:a:attr:attr:2.5.2:*:*:*:*:*:*:*","pkg:nix/attr@2.5.2",""
"bash-interactive-5.3p3","bash-interactive","5.3p3","/nix/store/0j41vs0ajmjn81i1mwhgvi24rr5hi4aa-bash53-001 /nix/store/6iygjlcf64ryrg6jryk6qrjfxxz2i6q8-bash53-002 /nix/store/bm2dknmrjbsd49idcliys6gyalnbd90i-bash53-003 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch","x86_64-linux","/nix/store/35yc81pz0q5yba14lxhn5r3jx5yg6c3l-bash-interactive-5.3p3","['/nix/store/35yc81pz0q5yba14lxhn5r3jx5yg6c3l-bash-interactive-5.3p3', '/nix/store/g3yba1g35vfm6b886mjh8b64viricyz3-bash-interactive-5.3p3-man']","/nix/store/5qr15anp4r8dljnv85yh6bflyin71msb-bash-interactive-5.3p3.drv","cpe:2.3:a:bash-interactive:bash-interactive:5.3p3:*:*:*:*:*:*:*","pkg:nix/bash-interactive@5.3p3",""
"coreutils-9.8","coreutils","9.8","/nix/store/02f9qyjmkcak2ywwzb3571n0mggj8g58-tail.patch /nix/store/gmgzj0bgxnpzrcb6n4wn3h965v18brmx-cp-1.patch /nix/store/684dl45bs9f7iij1vl7dfg4zms710zhy-cp-2.patch /nix/store/1qs5dym4930r8r59n0d9dcfyva654bz8-cp-3.patch","x86_64-linux","/nix/store/imad8dvhp77h0pjbckp6wvmnyhp8dpgg-coreutils-9.8","['/nix/store/imad8dvhp77h0pjbckp6wvmnyhp8dpgg-coreutils-9.8']","/nix/store/m507z3g5zq4lv5x99rqb6dfdh5m0xixx-coreutils-9.8.drv","cpe:2.3:a:coreutils:coreutils:9.8:*:*:*:*:*:*:*","pkg:nix/coreutils@9.8",""
"gcc-14.3.0","gcc","14.3.0","/nix/store/9577hmdlmhki67cg8ar85cvidyg7xr7p-gcc-12-no-sys-dirs.patch /nix/store/7x6bimj6ipi6ag859gi2fc6by87x37j7-no-sys-dirs-riscv.patch /nix/store/xpplvxiwb4li2qd5nvhyd2mngrpna0ya-mangle-NIX_STORE-in-__FILE__.patch /nix/store/632b0y5mkcdwbsw2g3xh5qznw2vv5axr-ppc-musl.patch /nix/store/3cj8qm3xjz1g5f7qnnxlc95i9imkicbk-cfi_startproc-reorder-label-14-1.diff","x86_64-linux","/nix/store/kzq78n13l8w24jn8bx4djj79k5j717f1-gcc-14.3.0","['/nix/store/shs2lyjm5yv7fmg4pwyvrlv9zr4macmv-gcc-14.3.0-libgcc', '/nix/store/xm08aqdd7pxcdhm0ak6aqb1v7hw5q6ri-gcc-14.3.0-lib']","/nix/store/0230mn72rcg3jxz11gffnc2anvrrd1x4-gcc-14.3.0.drv","cpe:2.3:a:gcc:gcc:14.3.0:*:*:*:*:*:*:*","pkg:nix/gcc@14.3.0",""
"glibc-2.40-66","glibc","2.40-66","/nix/store/2wlbvj13lm5rln4i71b3972lcfd91hzs-2.40-master.patch /nix/store/nc5hqqizlj7042vvhvx121kzf4nwh35p-nix-locale-archive.patch /nix/store/b1w7zbvm39ff1i52iyjggyvw2rdxz104-dont-use-system-ld-so-cache.patch /nix/store/mnglr8rr7nl444h7p50ysyq8qd0fm1lm-dont-use-system-ld-so-preload.patch /nix/store/za0pg7fmysrcwrqcal26fnmzw6vycgdn-fix_path_attribute_in_getconf.patch /nix/store/7kw224hdyxd7115lrqh9a4dv2x8msq2s-fix-x64-abi.patch /nix/store/001gp43bjqzx60cg345n2slzg7131za8-nix-nss-open-files.patch /nix/store/pcpx2ayccijipfl32zchx0mg7rzvj6zx-0001-Revert-Remove-all-usage-of-BASH-or-BASH-in-installed.patch /nix/store/sj0qllprnrmk1cqnnk57vvn2cqgjynbx-reenable_DT_HASH.patch /nix/store/f1qmmr4f6mi99xr5bvfrqmynjx9j038p-0001-localedata-allow-reproducible-parallel-install-of-lo.patch /nix/store/62qh08ij1zvw5lxj69n98lzv0byda0di-0002-Makeconfig-make-inst_complocaledir-overridable.patch","x86_64-linux","/nix/store/xx7cm72qy2c0643cm1ipngd87aqwkcdp-glibc-2.40-66","['/nix/store/xx7cm72qy2c0643cm1ipngd87aqwkcdp-glibc-2.40-66']","/nix/store/00c0baahgmmfk4084rkv5jk0nw6f849b-glibc-2.40-66.drv","cpe:2.3:a:glibc:glibc:2.40-66:*:*:*:*:*:*:*","pkg:nix/glibc@2.40-66",""
"gmp-with-cxx-6.3.0","gmp-with-cxx","6.3.0","","x86_64-linux","/nix/store/2f7yzmvcsydw38zr369l9xpk63v1ld5q-gmp-with-cxx-6.3.0","['/nix/store/2f7yzmvcsydw38zr369l9xpk63v1ld5q-gmp-with-cxx-6.3.0']","/nix/store/bvsj9xixq8n3jnd3nwprbz8qpnawzkpd-gmp-with-cxx-6.3.0.drv","cpe:2.3:a:gmp-with-cxx:gmp-with-cxx:6.3.0:*:*:*:*:*:*:*","pkg:nix/gmp-with-cxx@6.3.0",""
"image-root","image-root","","","x86_64-linux","/nix/store/1v4f8467gl639zzycp925np1hb3jkq0b-image-root","['/nix/store/1v4f8467gl639zzycp925np1hb3jkq0b-image-root']","/nix/store/8xrnb013i2nmwjmhsk0ryidnfcrznhxr-image-root.drv","cpe:2.3:a:image-root:image-root::*:*:*:*:*:*:*","pkg:nix/image-root",""
"libidn2-2.3.8","libidn2","2.3.8","","x86_64-linux","/nix/store/hxcmad417fd8ql9ylx96xpak7da06yiv-libidn2-2.3.8","['/nix/store/hxcmad417fd8ql9ylx96xpak7da06yiv-libidn2-2.3.8']","/nix/store/2zw1y1l2isiv9ww10bdiczbxgqnfmrgr-libidn2-2.3.8.drv","cpe:2.3:a:gnu:libidn2:2.3.8:*:*:*:*:*:*:*","pkg:nix/libidn2@2.3.8",""
"libunistring-1.4.1","libunistring","1.4.1","","x86_64-linux","/nix/store/3rkccxj7vi0p2a0d48c4a4z2vv2cni88-libunistring-1.4.1","['/nix/store/3rkccxj7vi0p2a0d48c4a4z2vv2cni88-libunistring-1.4.1']","/nix/store/2gy21xcjpq5q29crsy10vsv2m5f2513w-libunistring-1.4.1.drv","cpe:2.3:a:libunistring:libunistring:1.4.1:*:*:*:*:*:*:*","pkg:nix/libunistring@1.4.1",""
"ncurses-6.5","ncurses","6.5","/nix/store/wxgpyw9pj7dw8f5876ai4j964frnhiiy-1001-ncurses-Support-gnuabielfv1-2.patch","x86_64-linux","/nix/store/yijhn548p2589pkybgvbhll09bqsxy0q-ncurses-6.5","['/nix/store/yijhn548p2589pkybgvbhll09bqsxy0q-ncurses-6.5']","/nix/store/fw59lwpfibkcnsm6jp01pan8rd4hhw4r-ncurses-6.5.drv","cpe:2.3:a:ncurses:ncurses:6.5:*:*:*:*:*:*:*","pkg:nix/ncurses@6.5",""
"readline-8.3p1","readline","8.3p1","/nix/store/bw6aa38615ww5karcn8kslsf5hxgz412-link-against-ncurses.patch /nix/store/0v7w62jca8nw6w31zs4y2805jj670f6p-no-arch_only-8.2.patch /nix/store/x8zb2br5nij14z3a8yki2yah25yd3pya-readline83-001","x86_64-linux","/nix/store/41cgbkwax6pd1sgi8l81mamv6rvarryj-readline-8.3p1","['/nix/store/41cgbkwax6pd1sgi8l81mamv6rvarryj-readline-8.3p1']","/nix/store/sk1lpd8s1ppp5pvcvkwjqzq9gbkpp8va-readline-8.3p1.drv","cpe:2.3:a:gnu:readline:8.3p1:*:*:*:*:*:*:*","pkg:nix/readline@8.3p1",""
